Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,NameKey,PosList
Lindy Waters III,2.8,7.0,0.2,0.2,2.1,2.9,1.0,0.8,0.3,0.4,8.0,18.6,25.0,SG,,lindy waters iii,['SG']
Andre Drummond,3.4,5.9,1.2,2.2,0.0,9.3,1.8,1.1,0.9,1.6,7.9,19.7,73.0,C,,andre drummond,['C']
Andre Drummond,2.6,4.9,0.9,1.7,0.0,8.8,2.0,1.1,0.9,1.6,6.1,18.4,49.0,C,,andre drummond,['C']
Andre Drummond,5.0,8.1,1.8,3.4,0.0,10.3,1.4,0.9,1.0,1.5,11.8,22.3,24.0,C,,andre drummond,['C']
Josh Christopher,3.0,6.8,1.1,1.5,0.8,2.5,2.0,0.9,0.2,1.5,7.9,18.0,74.0,SG,,josh christopher,['SG']
Jordan Nwora,3.0,7.5,0.6,0.7,1.3,3.6,1.0,0.4,0.3,0.9,7.9,19.1,62.0,SF,,jordan nwora,['SF']
Zach Collins,2.7,5.5,1.9,2.3,0.5,5.5,2.2,0.5,0.8,1.6,7.8,17.9,28.0,C,,zach collins,['C']
Grant Williams,2.7,5.6,1.1,1.2,1.4,3.6,1.0,0.5,0.7,0.8,7.8,24.4,77.0,PF,,grant williams,['PF']
Drew Eubanks,3.1,5.2,1.4,1.8,0.1,5.4,1.2,0.4,0.6,1.1,7.7,17.5,71.0,C,,drew eubanks,['C']
Drew Eubanks,1.7,3.2,1.2,1.6,0.0,4.0,1.0,0.3,0.6,0.9,4.7,12.1,49.0,C,,drew eubanks,['C']
Drew Eubanks,6.2,9.6,1.8,2.3,0.2,8.5,1.6,0.8,0.5,1.6,14.5,29.5,22.0,C,,drew eubanks,['C']
Cody Martin,2.9,6.0,1.1,1.5,0.9,4.0,2.5,1.2,0.5,0.9,7.7,26.3,71.0,SF,,cody martin,['SF']
Kyle Anderson,3.0,6.8,1.0,1.5,0.5,5.3,2.7,1.1,0.7,1.0,7.6,21.5,69.0,PF,,kyle anderson,['PF']
Kris Dunn,3.1,7.3,1.2,1.3,0.1,3.5,5.6,1.6,0.2,2.3,7.6,24.0,14.0,PG,,kris dunn,['PG']
R.J. Hampton,2.7,7.1,1.2,1.8,1.0,3.0,2.5,0.7,0.2,1.4,7.6,21.9,64.0,SG,,r j hampton,['SG']
Furkan Korkmaz,2.7,7.0,1.0,1.3,1.1,2.6,1.9,0.5,0.1,0.7,7.6,21.1,67.0,SG,,furkan korkmaz,['SG']
Markieff Morris,3.2,6.7,0.5,0.5,0.8,2.6,1.4,0.4,0.1,1.2,7.6,17.5,17.0,PF,,markieff morris,['PF']
Aleksej Pokusevski,3.0,7.5,0.6,0.8,0.9,5.2,2.1,0.6,0.6,1.5,7.6,20.2,61.0,PF,,aleksej pokusevski,['PF']
P.J. Tucker,2.9,6.0,0.6,0.9,1.1,5.5,2.1,0.8,0.2,0.9,7.6,27.9,71.0,PF,,p j tucker,['PF']
Trendon Watford,3.0,5.6,1.5,2.0,0.2,4.1,1.7,0.5,0.6,0.9,7.6,18.1,48.0,SF,,trendon watford,['SF']
Goran Dragić,2.7,7.2,1.3,1.6,0.8,3.1,4.1,0.9,0.2,1.6,7.5,23.7,21.0,PG,,goran dragic,['PG']
Goran Dragić,2.6,6.8,2.0,2.0,0.8,2.8,1.8,1.0,0.2,0.2,8.0,18.0,5.0,PG,,goran dragic,['PG']
Goran Dragić,2.8,7.3,1.1,1.4,0.8,3.2,4.8,0.9,0.2,2.1,7.3,25.5,16.0,PG,,goran dragic,['PG']
Draymond Green,2.9,5.6,1.3,2.0,0.3,7.3,7.0,1.3,1.1,3.0,7.5,28.9,46.0,PF,,draymond green,['PF']
Raul Neto,2.9,6.3,1.2,1.5,0.5,1.9,3.1,0.8,0.0,1.1,7.5,19.6,70.0,PG,,raul neto,['PG']
Jeremiah Robinson-Earl,2.7,6.6,0.8,1.1,1.2,5.6,1.0,0.6,0.3,0.8,7.5,22.2,49.0,C,,jeremiah robinson earl,['C']
D.J. Wilson,2.8,3.8,2.0,2.5,0.0,4.0,1.3,1.3,0.3,0.5,7.5,13.5,4.0,PF,,d j wilson,['PF']
Thomas Bryant,2.9,5.5,1.3,1.5,0.4,4.0,0.9,0.2,0.8,0.7,7.4,16.3,27.0,C,,thomas bryant,['C']
Alex Caruso,2.5,6.2,1.4,1.8,1.0,3.6,4.0,1.7,0.4,1.4,7.4,28.0,41.0,SG,,alex caruso,['SG']
Jared Harper,2.8,5.2,0.8,0.8,1.0,0.4,2.8,0.8,0.2,0.4,7.4,8.6,5.0,PG,,jared harper,['PG']
Damion Lee,2.7,6.1,1.0,1.2,1.0,3.2,1.0,0.6,0.1,0.6,7.4,19.9,63.0,SG,,damion lee,['SG']
Royce O'Neale,2.6,5.8,0.6,0.7,1.5,4.8,2.5,1.1,0.4,1.0,7.4,31.2,77.0,SF,,royce o neale,['SF']
Kenrich Williams,3.0,6.5,0.6,1.1,0.8,4.5,2.2,0.9,0.2,0.9,7.4,21.9,49.0,SF,,kenrich williams,['SF']
Jeremy Lamb,2.4,6.2,1.6,1.9,1.0,2.8,1.4,0.6,0.4,0.7,7.3,16.7,56.0,SF,,jeremy lamb,['SF']
