Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,NameKey,PosList
Tyrese Maxey,9.1,20.3,4.7,5.4,3.0,3.7,6.2,1.0,0.5,1.7,25.9,37.5,70.0,PG,,tyrese maxey,['PG']
LeBron James,9.6,17.9,4.3,5.7,2.1,7.3,8.3,1.3,0.5,3.5,25.7,35.3,71.0,PF,,lebron james,['PF']
Trae Young,8.0,18.7,6.4,7.5,3.2,2.8,10.8,1.3,0.2,4.4,25.7,36.0,54.0,PG,,trae young,['PG']
Kyrie Irving,9.7,19.5,3.3,3.6,3.0,5.0,5.2,1.3,0.5,1.8,25.6,35.0,58.0,SG,,kyrie irving,['SG']
Ja Morant,8.9,18.9,5.8,7.1,1.6,5.6,8.1,0.8,0.6,3.0,25.1,35.3,9.0,PG,,ja morant,['PG']
Anthony Davis,9.4,16.9,5.5,6.8,0.4,12.6,3.5,1.2,2.3,2.1,24.7,35.5,76.0,C,,anthony davis,['C']
Damian Lillard,7.4,17.5,6.5,7.0,3.0,4.4,7.0,1.0,0.2,2.6,24.3,35.3,73.0,PG,,damian lillard,['PG']
DeMar DeRozan,8.2,17.2,6.6,7.7,0.9,4.3,5.3,1.1,0.6,1.7,24.0,37.8,79.0,SF,,demar derozan,['SF']
Julius Randle,8.6,18.2,5.1,6.6,1.7,9.2,5.0,0.5,0.3,3.5,24.0,35.4,46.0,PF,,julius randle,['PF']
LaMelo Ball,8.3,19.2,4.1,4.7,3.2,5.1,8.0,1.8,0.2,3.8,23.9,32.3,22.0,PG,,lamelo ball,['PG']
Desmond Bane,8.6,18.5,3.3,3.8,3.3,4.4,5.5,1.0,0.5,2.7,23.7,34.4,42.0,SG,,desmond bane,['SG']
Kawhi Leonard,9.0,17.1,3.7,4.2,2.1,6.1,3.6,1.6,0.9,1.8,23.7,34.3,68.0,SF,,kawhi leonard,['SF']
Lauri Markkanen,7.8,16.2,4.5,5.0,3.2,8.2,2.0,0.9,0.5,1.4,23.2,33.1,55.0,PF,,lauri markkanen,['PF']
Jaylen Brown,9.0,17.9,3.0,4.3,2.1,5.5,3.6,1.2,0.5,2.4,23.0,33.5,70.0,SF,,jaylen brown,['SF']
Zion Williamson,8.9,15.6,5.0,7.1,0.1,5.8,5.0,1.1,0.7,2.8,22.9,31.5,70.0,PF,,zion williamson,['PF']
Cade Cunningham,8.5,18.8,3.8,4.4,1.9,4.3,7.5,0.9,0.4,3.4,22.7,33.5,62.0,PG,,cade cunningham,['PG']
Paolo Banchero,8.0,17.6,5.1,7.0,1.5,6.9,5.4,0.9,0.6,3.1,22.6,35.0,80.0,PF,,paolo banchero,['PF']
Paul George,7.9,16.7,3.6,3.9,3.3,5.2,3.5,1.5,0.5,2.1,22.6,33.8,74.0,PF,,paul george,['PF']
Anfernee Simons,7.8,18.2,3.5,3.9,3.4,3.6,5.5,0.5,0.1,2.7,22.6,34.4,46.0,SG,,anfernee simons,['SG']
Jaren Jackson Jr.,7.8,17.6,5.1,6.3,1.8,5.5,2.3,1.2,1.6,2.4,22.5,32.2,66.0,C,,jaren jackson jr,['C']
Dejounte Murray,8.6,18.8,2.7,3.4,2.6,5.3,6.4,1.4,0.3,2.6,22.5,35.7,78.0,SG,,dejounte murray,['SG']
Cam Thomas,8.0,18.0,4.3,5.1,2.2,3.2,2.9,0.7,0.2,1.9,22.5,31.4,66.0,SG,,cam thomas,['SG']
Kyle Kuzma,8.7,18.8,2.7,3.4,2.2,6.6,4.2,0.5,0.7,2.7,22.2,32.6,70.0,PF,,kyle kuzma,['PF']
Karl-Anthony Towns,7.7,15.3,4.1,4.7,2.2,8.3,3.0,0.7,0.7,2.9,21.8,32.7,62.0,PF,,karl anthony towns,['PF']
Pascal Siakam,8.5,15.9,3.6,5.0,1.1,7.1,4.3,0.8,0.3,1.8,21.7,33.2,80.0,PF,,pascal siakam,['PF']
Pascal Siakam,8.3,16.0,4.3,5.7,1.2,6.3,4.9,0.8,0.3,2.1,22.2,34.7,39.0,PF,,pascal siakam,['PF']
Pascal Siakam,8.7,15.8,3.0,4.2,1.0,7.8,3.7,0.8,0.4,1.4,21.3,31.8,41.0,PF,,pascal siakam,['PF']
Victor Wembanyama,7.8,16.7,4.1,5.2,1.8,10.6,3.9,1.2,3.6,3.7,21.4,29.7,71.0,C,,victor wembanyama,['C']
Jamal Murray,8.0,16.7,2.7,3.1,2.5,4.1,6.5,1.0,0.7,2.1,21.2,31.5,59.0,PG,,jamal murray,['PG']
Alperen Şengün,8.4,15.6,3.9,5.6,0.5,9.3,5.0,1.2,0.7,2.6,21.1,32.5,63.0,C,,alperen sengun,['C']
Miles Bridges,8.1,17.5,2.5,3.1,2.3,7.3,3.3,0.9,0.5,2.0,21.0,37.4,69.0,SF,,miles bridges,['SF']
Jerami Grant,7.1,15.7,4.7,5.8,2.1,3.5,2.8,0.8,0.6,2.1,21.0,33.9,54.0,PF,,jerami grant,['PF']
Jimmy Butler,6.6,13.2,6.6,7.7,1.0,5.3,5.0,1.3,0.3,1.7,20.8,34.0,60.0,PF,,jimmy butler,['PF']
Tyler Herro,7.7,17.5,2.3,2.6,3.1,5.3,4.5,0.7,0.1,2.2,20.8,33.5,42.0,SG,,tyler herro,['SG']
Brandon Ingram,7.8,15.9,3.8,4.8,1.3,5.1,5.7,0.8,0.6,2.5,20.8,32.9,64.0,SF,,brandon ingram,['SF']
RJ Barrett,7.5,15.2,3.6,5.0,1.6,5.4,3.3,0.5,0.4,2.2,20.2,31.7,58.0,SG,,rj barrett,['SG']
RJ Barrett,6.3,14.9,4.0,4.8,1.7,4.3,2.4,0.5,0.3,1.8,18.2,29.5,26.0,SG,,rj barrett,['SG']
RJ Barrett,8.5,15.4,3.3,5.2,1.5,6.4,4.1,0.6,0.4,2.5,21.8,33.5,32.0,SG,,rj barrett,['SG']
Tyrese Haliburton,7.2,15.2,2.8,3.3,2.8,3.9,10.9,1.2,0.7,2.3,20.1,32.2,69.0,PG,,tyrese haliburton,['PG']
Kristaps Porziņģis,6.8,13.2,4.5,5.3,1.9,7.2,2.0,0.7,1.9,1.6,20.1,29.6,57.0,C,,kristaps porzingis,['C']
CJ McCollum,7.3,16.0,1.7,2.1,3.6,4.3,4.6,0.9,0.6,1.7,20.0,32.7,66.0,PG,,cj mccollum,['PG']
Scottie Barnes,7.5,15.7,3.3,4.2,1.7,8.2,6.1,1.3,1.5,2.8,19.9,34.9,60.0,SG,,scottie barnes,['SG']
Terry Rozier,7.2,16.4,2.8,3.2,2.4,4.0,5.6,1.0,0.3,1.7,19.8,33.4,61.0,SG,,terry rozier,['SG']
Terry Rozier,8.4,18.3,3.6,4.3,2.8,3.9,6.6,1.1,0.4,2.2,23.2,35.5,30.0,SG,,terry rozier,['SG']
Terry Rozier,6.1,14.5,2.0,2.2,2.1,4.2,4.6,1.0,0.3,1.3,16.4,31.5,31.0,PG,,terry rozier,['PG']
Franz Wagner,7.3,15.2,3.8,4.4,1.3,5.3,3.7,1.1,0.4,1.9,19.7,32.5,72.0,SF,,franz wagner,['SF']
Mikal Bridges,6.9,15.8,3.1,3.9,2.7,4.5,3.6,1.0,0.4,2.0,19.6,34.8,82.0,SF,,mikal bridges,['SF']
Jalen Green,6.9,16.2,3.5,4.3,2.5,5.2,3.5,0.8,0.3,2.3,19.6,31.7,82.0,SG,,jalen green,['SG']
Zach LaVine,6.8,15.0,3.5,4.1,2.4,5.2,3.9,0.8,0.3,2.1,19.5,34.9,25.0,SG,,zach lavine,['SG']
Devin Vassell,7.3,15.5,2.4,3.0,2.4,3.8,4.1,1.1,0.3,1.6,19.5,33.1,68.0,SG,,devin vassell,['SG']
Domantas Sabonis,7.7,13.0,3.6,5.1,0.4,13.7,8.2,0.9,0.6,3.3,19.4,35.7,82.0,C,,domantas sabonis,['C']
Bam Adebayo,7.5,14.3,4.1,5.5,0.2,10.4,3.9,1.1,0.9,2.3,19.3,34.0,71.0,C,,bam adebayo,['C']
Coby White,6.8,15.3,2.8,3.3,2.6,4.5,5.1,0.7,0.2,2.1,19.1,36.5,79.0,PG,,coby white,['PG']
Jalen Williams,7.5,14.0,2.5,3.1,1.5,4.0,4.5,1.1,0.6,1.7,19.1,31.3,71.0,PF,,jalen williams,['PF']
Collin Sexton,6.5,13.3,4.1,4.7,1.6,2.6,4.9,0.8,0.2,2.1,18.7,26.6,78.0,SG,,collin sexton,['SG']
Bradley Beal,7.1,13.9,2.1,2.5,1.9,4.4,5.0,1.0,0.5,2.5,18.2,33.3,53.0,SG,,bradley beal,['SG']
Darius Garland,6.6,14.8,2.6,3.1,2.3,2.7,6.5,1.3,0.1,3.1,18.0,33.4,57.0,PG,,darius garland,['PG']
D'Angelo Russell,6.5,14.2,2.1,2.5,3.0,3.1,6.3,0.9,0.5,2.1,18.0,32.7,76.0,PG,,d angelo russell,['PG']
Nikola Vučević,7.7,15.9,1.4,1.7,1.2,10.5,3.3,0.7,0.8,1.6,18.0,34.3,76.0,C,,nikola vucevic,['C']
Klay Thompson,6.4,14.7,1.6,1.8,3.5,3.3,2.3,0.6,0.5,1.5,17.9,29.7,77.0,SF,,klay thompson,['SF']
Jordan Poole,6.3,15.2,2.5,2.8,2.4,2.7,4.4,1.1,0.3,2.4,17.4,30.1,78.0,SG,,jordan poole,['SG']
Fred VanVleet,5.8,13.9,2.7,3.1,3.1,3.8,8.1,1.4,0.8,1.7,17.4,36.8,73.0,PG,,fred vanvleet,['PG']
Brandon Miller,6.4,14.6,1.9,2.3,2.5,4.3,2.4,0.9,0.6,1.8,17.3,32.2,74.0,SF,,brandon miller,['SF']
Tobias Harris,6.6,13.6,2.7,3.0,1.3,6.5,3.1,1.0,0.7,1.3,17.2,33.8,70.0,PF,,tobias harris,['PF']
Jordan Clarkson,6.1,14.8,3.2,3.7,1.7,3.4,5.0,0.6,0.1,2.7,17.1,30.6,55.0,SG,,jordan clarkson,['SG']
Myles Turner,6.2,11.8,3.2,4.1,1.5,6.9,1.3,0.5,1.9,1.4,17.1,27.0,77.0,C,,myles turner,['C']
Immanuel Quickley,5.7,13.1,3.1,3.6,2.5,3.8,4.9,0.7,0.1,1.5,17.0,29.2,68.0,SG,,immanuel quickley,['SG']
Immanuel Quickley,5.1,11.2,2.7,3.1,2.1,2.6,2.5,0.5,0.1,1.0,15.0,24.0,30.0,SG,,immanuel quickley,['SG']
Immanuel Quickley,6.2,14.7,3.3,4.0,2.8,4.8,6.8,0.9,0.2,1.8,18.6,33.3,38.0,PG,,immanuel quickley,['PG']
Bogdan Bogdanović,6.0,13.9,1.9,2.1,3.0,3.4,3.1,1.2,0.3,1.4,16.9,30.4,79.0,SG,,bogdan bogdanovic,['SG']
Deandre Ayton,7.8,13.6,1.2,1.4,0.0,11.1,1.6,1.0,0.8,1.8,16.7,32.4,55.0,C,,deandre ayton,['C']
Michael Porter Jr.,6.4,13.3,1.1,1.4,2.7,7.0,1.5,0.5,0.7,1.1,16.7,31.7,81.0,SF,,michael porter jr,['SF']
James Harden,4.9,11.4,4.2,4.8,2.6,5.1,8.5,1.1,0.8,2.6,16.6,34.3,72.0,PG,,james harden,['PG']
Jarrett Allen,6.7,10.6,3.0,4.1,0.0,10.5,2.7,0.7,1.1,1.6,16.5,31.7,77.0,C,,jarrett allen,['C']
Chet Holmgren,6.2,11.6,2.7,3.4,1.6,7.9,2.4,0.6,2.3,1.6,16.5,29.4,82.0,C,,chet holmgren,['C']
Jonathan Kuminga,6.2,11.6,3.0,4.0,0.7,4.8,2.2,0.7,0.5,1.6,16.1,26.3,74.0,PF,,jonathan kuminga,['PF']
Jalen Johnson,6.4,12.5,1.9,2.6,1.3,8.7,3.6,1.2,0.8,1.8,16.0,33.7,56.0,SF,,jalen johnson,['SF']
Austin Reaves,5.6,11.5,2.8,3.3,1.9,4.3,5.5,0.8,0.3,2.1,15.9,32.1,82.0,SG,,austin reaves,['SG']
Shaedon Sharpe,5.5,13.6,3.1,3.7,1.9,5.0,2.9,0.9,0.4,2.3,15.9,33.1,32.0,SG,,shaedon sharpe,['SG']
Malcolm Brogdon,5.6,12.7,2.4,3.0,2.1,3.8,5.5,0.7,0.2,1.5,15.7,28.7,39.0,PG,,malcolm brogdon,['PG']
Keldon Johnson,5.7,12.5,2.5,3.2,1.8,5.5,2.8,0.7,0.3,1.4,15.7,29.5,69.0,SF,,keldon johnson,['SF']
Evan Mobley,6.4,11.0,2.5,3.4,0.4,9.4,3.2,0.9,1.4,1.8,15.7,30.6,50.0,PF,,evan mobley,['PF']
De'Andre Hunter,5.3,11.6,2.9,3.4,2.1,3.9,1.5,0.7,0.3,1.5,15.6,29.5,57.0,SF,,de andre hunter,['SF']
Donte DiVincenzo,5.5,12.4,1.1,1.4,3.5,3.7,2.7,1.3,0.4,1.4,15.5,29.1,81.0,SG,,donte divincenzo,['SG']
Jaden Ivey,5.4,12.6,2.9,3.9,1.6,3.4,3.8,0.7,0.5,2.5,15.4,28.8,77.0,SG,,jaden ivey,['SG']
Malik Monk,5.5,12.4,2.4,2.8,2.1,2.9,5.1,0.6,0.5,2.1,15.4,26.0,72.0,SG,,malik monk,['SG']
Kelly Oubre Jr.,5.7,12.9,2.6,3.4,1.5,5.0,1.5,1.1,0.7,1.3,15.4,30.2,68.0,SF,,kelly oubre jr,['SF']
Bojan Bogdanović,5.4,11.9,2.1,2.6,2.3,2.7,1.7,0.5,0.1,1.8,15.2,25.9,57.0,PF,,bojan bogdanovic,['PF']
Bojan Bogdanović,7.1,15.2,2.9,3.7,3.1,3.4,2.5,0.8,0.1,2.3,20.2,32.9,28.0,PF,,bojan bogdanovic,['PF']
Bojan Bogdanović,3.8,8.8,1.2,1.6,1.6,2.0,0.9,0.2,0.0,1.3,10.4,19.2,29.0,SF,,bojan bogdanovic,['SF']
Keegan Murray,5.8,12.7,1.3,1.6,2.4,5.5,1.7,1.0,0.8,0.8,15.2,33.6,77.0,SF,,keegan murray,['SF']
Derrick White,5.3,11.5,1.9,2.1,2.7,4.2,5.2,1.0,1.2,1.5,15.2,32.6,73.0,SG,,derrick white,['SG']
John Collins,5.8,11.0,2.2,2.7,1.3,8.5,1.1,0.6,0.9,1.4,15.1,28.0,68.0,PF,,john collins,['PF']
Khris Middleton,5.8,11.7,1.8,2.2,1.7,4.7,5.3,0.9,0.3,2.3,15.1,27.0,55.0,SF,,khris middleton,['SF']
Trey Murphy III,4.8,10.9,2.2,2.6,3.0,4.9,2.2,0.9,0.5,0.6,14.8,29.6,57.0,SF,,trey murphy iii,['SF']
OG Anunoby,5.6,11.5,1.3,1.8,2.0,4.2,2.1,1.4,0.7,1.6,14.7,34.0,50.0,SF,,og anunoby,['SF']
OG Anunoby,5.8,11.9,1.2,1.7,2.3,3.9,2.7,1.0,0.5,1.6,15.1,33.3,27.0,SF,,og anunoby,['SF']
OG Anunoby,5.4,11.1,1.5,1.9,1.8,4.4,1.5,1.7,1.0,1.7,14.1,34.9,23.0,SF,,og anunoby,['SF']
Deni Avdija,5.4,10.7,2.7,3.6,1.2,7.2,3.8,0.8,0.5,2.1,14.7,30.1,75.0,SF,,deni avdija,['SF']
GG Jackson II,5.0,11.7,2.4,3.2,2.1,4.1,1.2,0.6,0.5,1.4,14.6,25.7,48.0,PF,,gg jackson ii,['PF']
Bennedict Mathurin,5.0,11.2,3.1,3.8,1.4,4.0,2.0,0.6,0.2,1.6,14.5,26.1,59.0,SF,,bennedict mathurin,['SF']
Marcus Smart,5.1,11.9,2.2,2.8,2.1,2.7,4.3,2.1,0.3,3.1,14.5,30.3,20.0,PG,,marcus smart,['PG']
Tim Hardaway Jr.,5.0,12.4,1.8,2.1,2.7,3.2,1.8,0.5,0.1,0.9,14.4,26.8,79.0,SF,,tim hardaway jr,['SF']
Dennis Schröder,5.0,11.6,2.2,2.7,1.7,3.0,6.1,0.8,0.2,1.9,14.0,31.1,80.0,PG,,dennis schroder,['PG']
Dennis Schröder,4.8,11.0,2.5,2.9,1.5,2.7,6.1,0.9,0.2,1.6,13.7,30.6,51.0,PG,,dennis schroder,['PG']
Dennis Schröder,5.4,12.7,1.8,2.2,2.1,3.5,6.0,0.6,0.3,2.4,14.6,32.0,29.0,PG,,dennis schroder,['PG']
Rudy Gobert,5.3,8.1,3.3,5.1,0.0,12.9,1.3,0.7,2.1,1.6,14.0,34.1,76.0,C,,rudy gobert,['C']
Scoot Henderson,5.0,12.9,2.7,3.3,1.4,3.1,5.4,0.8,0.2,3.4,14.0,28.5,62.0,PG,,scoot henderson,['PG']
Caris LeVert,5.1,12.1,2.3,3.0,1.6,4.1,5.1,1.1,0.5,1.7,14.0,28.8,68.0,SG,,caris levert,['SG']
Aaron Gordon,5.5,9.8,2.4,3.7,0.5,6.5,3.5,0.8,0.6,1.4,13.9,31.5,73.0,PF,,aaron gordon,['PF']
Norman Powell,4.9,10.1,1.9,2.3,2.2,2.6,1.1,0.6,0.3,0.9,13.9,26.2,76.0,SG,,norman powell,['SG']
Jalen Duren,5.7,9.2,2.3,3.0,0.0,11.6,2.4,0.5,0.8,2.1,13.8,29.1,61.0,C,,jalen duren,['C']
Bobby Portis,5.7,11.2,1.2,1.5,1.2,7.4,1.3,0.8,0.4,1.1,13.8,24.5,82.0,PF,,bobby portis,['PF']
Saddiq Bey,4.6,11.1,2.7,3.2,1.8,6.5,1.5,0.8,0.2,0.9,13.7,32.7,63.0,SF,,saddiq bey,['SF']
Jabari Smith Jr.,5.0,11.0,2.0,2.4,1.8,8.1,1.6,0.7,0.8,1.2,13.7,31.9,76.0,PF,,jabari smith jr,['PF']
Gary Trent Jr.,5.1,11.9,1.0,1.4,2.5,2.6,1.7,1.1,0.1,0.7,13.7,28.1,71.0,SG,,gary trent jr,['SG']
Rui Hachimura,5.3,9.9,1.5,2.0,1.4,4.3,1.2,0.6,0.4,0.7,13.6,26.9,68.0,PF,,rui hachimura,['PF']
Grayson Allen,4.5,9.1,1.7,2.0,2.7,3.9,3.0,0.9,0.6,1.3,13.5,33.5,75.0,SG,,grayson allen,['SG']
Naz Reid,5.0,10.5,1.3,1.8,2.1,5.2,1.3,0.8,0.9,1.4,13.5,24.2,81.0,PF,,naz reid,['PF']
Cameron Johnson,4.8,10.7,1.5,1.9,2.4,4.3,2.4,0.8,0.3,1.0,13.4,27.6,58.0,PF,,cameron johnson,['PF']
Corey Kispert,4.8,9.9,1.4,2.0,2.3,2.8,2.0,0.5,0.2,1.2,13.4,25.8,80.0,SF,,corey kispert,['SF']
Andrew Wiggins,5.0,11.0,2.0,2.7,1.3,4.5,1.7,0.6,0.6,1.2,13.2,27.0,71.0,SF,,andrew wiggins,['SF']
Keyonte George,4.3,10.9,2.5,3.0,2.0,2.8,4.4,0.5,0.1,2.5,13.0,27.0,75.0,PG,,keyonte george,['PG']
P.J. Washington,4.8,11.1,1.4,2.0,1.8,5.6,1.9,1.0,0.8,1.3,12.9,30.4,73.0,PF,,p j washington,['PF']
P.J. Washington,5.2,11.6,1.5,2.1,1.8,5.3,2.2,0.9,0.7,1.5,13.6,29.2,44.0,PF,,p j washington,['PF']
P.J. Washington,4.4,10.4,1.1,1.8,1.8,6.2,1.5,1.2,0.9,1.0,11.7,32.2,29.0,PF,,p j washington,['PF']
Scotty Pippen Jr.,4.8,9.7,2.0,2.6,1.4,3.2,4.7,1.7,0.5,2.7,12.9,25.1,21.0,PG,,scotty pippen jr,['PG']
Duncan Robinson,4.5,9.9,1.2,1.3,2.8,2.5,2.8,0.7,0.2,1.4,12.9,28.0,68.0,SF,,duncan robinson,['SF']
Dillon Brooks,4.6,10.7,1.7,2.0,1.8,3.4,1.7,0.9,0.1,1.2,12.7,30.9,72.0,SF,,dillon brooks,['SF']
Mark Williams,5.2,7.9,2.4,3.4,0.0,9.7,1.2,0.8,1.1,0.9,12.7,26.7,19.0,C,,mark williams,['C']
Jalen Suggs,4.5,9.5,1.6,2.1,2.0,3.1,2.7,1.4,0.6,1.8,12.6,27.0,75.0,SG,,jalen suggs,['SG']
Jrue Holiday,4.8,10.0,0.9,1.0,2.0,5.4,4.8,0.9,0.8,1.8,12.5,32.8,69.0,PG,,jrue holiday,['PG']
Brook Lopez,4.6,9.6,1.4,1.7,1.9,5.2,1.6,0.5,2.4,1.0,12.5,30.5,79.0,C,,brook lopez,['C']
Josh Giddey,5.0,10.6,1.3,1.6,1.0,6.4,4.8,0.6,0.6,2.1,12.3,25.1,80.0,SG,,josh giddey,['SG']
Cam Whitmore,4.5,9.9,1.6,2.4,1.7,3.8,0.7,0.6,0.4,1.0,12.3,18.7,47.0,SF,,cam whitmore,['SF']
Harrison Barnes,4.2,8.9,1.9,2.4,1.8,3.0,1.2,0.7,0.1,0.7,12.2,29.0,82.0,PF,,harrison barnes,['PF']
Ayo Dosunmu,4.7,9.5,1.1,1.4,1.6,2.8,3.2,0.9,0.5,1.4,12.2,29.1,76.0,SG,,ayo dosunmu,['SG']
Javonte Green,5.0,8.3,1.1,1.4,1.1,7.4,0.6,1.1,0.9,0.8,12.2,25.6,9.0,SF,,javonte green,['SF']
Aaron Nesmith,4.4,8.8,1.5,1.9,1.9,3.8,1.5,0.9,0.7,0.9,12.2,27.7,72.0,SF,,aaron nesmith,['SF']
Max Strus,4.3,10.4,1.1,1.4,2.4,4.8,4.0,0.9,0.4,1.6,12.2,32.0,70.0,SF,,max strus,['SF']
Jonas Valančiūnas,4.9,8.8,2.0,2.5,0.5,8.8,2.1,0.4,0.8,1.4,12.2,23.5,82.0,C,,jonas valanciunas,['C']
Buddy Hield,4.4,10.1,0.6,0.7,2.6,3.2,2.8,0.8,0.5,1.2,12.1,25.7,84.0,SF,,buddy hield,['SF']
Buddy Hield,4.4,9.9,0.5,0.6,2.6,3.2,2.7,0.8,0.6,1.2,12.0,25.7,52.0,SF,,buddy hield,['SF']
Buddy Hield,4.4,10.4,0.8,0.8,2.6,3.2,3.0,0.8,0.3,1.3,12.2,25.8,32.0,SG,,buddy hield,['SG']
Tyus Jones,4.9,10.1,0.5,0.6,1.6,2.7,7.3,1.1,0.3,1.0,12.0,29.3,66.0,PG,,tyus jones,['PG']
Jaime Jaquez Jr.,4.5,9.3,1.9,2.3,0.9,3.8,2.6,1.0,0.3,1.5,11.9,28.2,75.0,SF,,jaime jaquez jr,['SF']
Nic Claxton,5.2,8.2,1.5,2.8,0.0,9.9,2.1,0.6,2.1,1.3,11.8,29.8,71.0,C,,nic claxton,['C']
Marvin Bagley III,4.8,8.2,1.9,2.5,0.2,6.2,1.1,0.4,0.7,1.2,11.7,21.1,50.0,C,,marvin bagley iii,['C']
Marvin Bagley III,4.1,7.0,1.9,2.3,0.0,4.5,1.0,0.2,0.5,1.1,10.2,18.4,26.0,C,,marvin bagley iii,['C']
Marvin Bagley III,5.5,9.5,1.9,2.7,0.3,8.1,1.2,0.6,0.8,1.3,13.3,24.0,24.0,C,,marvin bagley iii,['C']
Ivica Zubac,5.0,7.6,1.8,2.4,0.0,9.2,1.4,0.3,1.2,1.2,11.7,26.4,68.0,C,,ivica zubac,['C']
Cole Anthony,4.1,9.4,2.2,2.7,1.1,3.8,2.9,0.8,0.5,1.6,11.6,22.4,81.0,PG,,cole anthony,['PG']
Jeremy Sochan,4.6,10.5,1.5,1.9,0.9,6.4,3.4,0.8,0.5,1.9,11.6,29.6,74.0,PF,,jeremy sochan,['PF']
Clint Capela,4.8,8.5,1.8,2.8,0.0,10.6,1.2,0.6,1.5,1.0,11.5,25.8,73.0,C,,clint capela,['C']
Mike Conley,3.9,8.5,1.3,1.5,2.4,2.9,5.9,1.2,0.2,1.3,11.4,28.9,76.0,PG,,mike conley,['PG']
Malik Beasley,4.1,9.1,0.3,0.4,2.8,3.7,1.4,0.7,0.1,0.7,11.3,29.6,79.0,SG,,malik beasley,['SG']
Brandon Clarke,5.5,9.8,0.2,1.2,0.2,5.3,1.5,0.8,1.0,0.5,11.3,22.3,6.0,PF,,brandon clarke,['PF']
Zach Collins,4.3,8.9,1.8,2.3,0.8,5.4,2.8,0.5,0.8,1.9,11.2,22.1,69.0,C,,zach collins,['C']
De'Anthony Melton,3.7,9.5,1.7,2.1,2.0,3.7,3.0,1.6,0.4,1.0,11.1,26.9,38.0,SG,,de anthony melton,['SG']
Jakob Poeltl,5.0,7.6,1.2,2.1,0.0,8.6,2.5,0.7,1.5,1.5,11.1,26.4,50.0,C,,jakob poeltl,['C']
Russell Westbrook,4.4,9.8,1.6,2.4,0.6,5.0,4.5,1.1,0.3,2.1,11.1,22.5,68.0,PG,,russell westbrook,['PG']
Daniel Gafford,4.7,6.5,1.6,2.4,0.0,7.6,1.6,0.9,2.1,1.0,11.0,24.5,74.0,C,,daniel gafford,['C']
Daniel Gafford,4.5,6.5,1.9,2.6,0.0,8.0,1.5,1.0,2.2,1.0,10.9,26.5,45.0,C,,daniel gafford,['C']
Daniel Gafford,5.0,6.4,1.2,1.9,0.0,6.9,1.6,0.7,1.9,1.0,11.2,21.5,29.0,PF,,daniel gafford,['PF']
Wendell Carter Jr.,4.1,7.7,1.7,2.4,1.2,6.9,1.7,0.6,0.5,1.2,11.0,25.6,55.0,C,,wendell carter jr,['C']
Eric Gordon,4.0,9.1,0.8,0.9,2.2,1.8,2.0,1.0,0.4,1.1,11.0,27.8,68.0,SG,,eric gordon,['SG']
Herbert Jones,3.9,7.7,1.8,2.1,1.5,3.6,2.6,1.4,0.8,1.2,11.0,30.5,76.0,SF,,herbert jones,['SF']
Luke Kennard,3.6,8.1,1.0,1.2,2.7,2.9,3.5,0.5,0.1,1.4,11.0,25.6,39.0,SG,,luke kennard,['SG']
