Player,FGM,FGA,FTM,FTA,3PM,REB,AST,STL,BLK,TO,PTS,MIN,GP,Pos,Team,PosList
Kentavious Caldwell-Pope,3.3,7.6,1.4,1.7,1.8,2.7,1.9,0.9,0.4,1.0,9.7,28.4,67.0,SG,,['SG']
Mike Muscala,3.4,7.6,0.9,1.0,1.9,3.8,0.8,0.2,0.3,0.6,9.7,18.4,35.0,C,,['C']
Daniel Theis,3.9,7.2,1.1,1.7,0.8,5.5,1.7,0.6,0.9,1.0,9.6,24.6,65.0,C,,['C']
Daniel Theis,3.8,6.9,1.1,1.6,0.8,5.2,1.6,0.6,1.0,1.0,9.5,24.5,42.0,C,,['C']
Daniel Theis,4.0,7.7,1.2,1.9,0.7,5.9,1.8,0.7,0.6,1.1,10.0,25.0,23.0,C,,['C']
Wayne Ellington,3.2,7.3,0.6,0.8,2.5,1.8,1.5,0.4,0.2,0.7,9.6,22.0,46.0,SG,,['SG']
Cameron Johnson,3.4,8.1,0.8,1.0,2.0,3.3,1.4,0.6,0.3,0.7,9.6,24.0,60.0,PF,,['PF']
Isaac Okoro,3.5,8.3,1.7,2.3,0.9,3.1,1.9,0.9,0.4,1.3,9.6,32.4,67.0,SG,,['SG']
Taurean Prince,3.2,8.0,1.6,1.9,1.5,3.5,1.9,0.7,0.6,1.1,9.5,22.1,41.0,PF,,['PF']
Taurean Prince,2.5,6.2,2.0,2.3,1.1,2.8,0.6,0.7,0.7,0.9,8.1,18.2,12.0,PF,,['PF']
Taurean Prince,3.5,8.7,1.4,1.7,1.7,3.7,2.4,0.7,0.5,1.2,10.1,23.7,29.0,PF,,['PF']
Danny Green,3.2,7.9,0.4,0.6,2.5,3.8,1.7,1.3,0.8,1.0,9.5,28.0,69.0,SF,,['SF']
Eric Paschall,3.7,7.5,1.7,2.4,0.5,3.2,1.3,0.3,0.2,1.1,9.5,17.4,40.0,PF,,['PF']
Trevor Ariza,3.3,8.0,1.1,1.5,1.7,4.8,1.8,1.0,0.6,0.7,9.4,28.0,30.0,SF,,['SF']
Cody Zeller,3.8,6.8,1.8,2.5,0.1,6.8,1.8,0.6,0.4,1.1,9.4,20.9,48.0,C,,['C']
KJ Martin,3.6,7.1,1.3,1.9,0.8,5.4,1.1,0.7,0.9,0.8,9.3,23.7,45.0,SF,,['SF']
Larry Nance Jr.,3.7,7.8,0.9,1.4,1.2,6.7,3.1,1.7,0.5,1.6,9.3,31.2,35.0,PF,,['PF']
Landry Shamet,3.0,7.5,1.1,1.3,2.1,1.8,1.6,0.5,0.2,0.8,9.3,23.0,61.0,SG,,['SG']
Desmond Bane,3.4,7.3,0.6,0.7,1.7,3.1,1.7,0.6,0.2,0.9,9.2,22.3,68.0,SG,,['SG']
Josh Hart,3.2,7.3,1.5,1.9,1.3,8.0,2.3,0.8,0.3,1.0,9.2,28.7,47.0,SF,,['SF']
David Nwaba,3.5,7.3,1.6,2.3,0.6,3.9,1.0,1.0,0.7,0.6,9.2,22.6,30.0,SF,,['SF']
Patrick Williams,3.6,7.4,1.3,1.8,0.8,4.6,1.4,0.9,0.6,1.4,9.2,27.9,71.0,PF,,['PF']
Furkan Korkmaz,3.1,7.7,1.1,1.5,1.8,2.1,1.5,0.9,0.2,0.8,9.1,19.3,55.0,SG,,['SG']
De'Anthony Melton,3.3,7.6,0.8,1.0,1.7,3.1,2.5,1.2,0.6,1.3,9.1,20.1,52.0,PG,,['PG']
Talen Horton-Tucker,3.4,7.5,1.5,2.0,0.6,2.6,2.8,1.0,0.3,1.6,9.0,20.1,65.0,SG,,['SG']
Robin Lopez,3.8,6.0,1.4,1.9,0.1,3.8,0.8,0.2,0.6,1.1,9.0,19.1,71.0,C,,['C']
Paul Millsap,3.4,7.2,1.3,1.8,0.9,4.7,1.8,0.9,0.6,0.9,9.0,20.8,56.0,PF,,['PF']
Jaylen Nowell,3.4,8.0,1.1,1.3,1.2,2.3,1.5,0.5,0.3,0.7,9.0,18.1,42.0,SG,,['SG']
Ivica Zubac,3.6,5.5,1.9,2.4,0.0,7.2,1.3,0.3,0.9,1.1,9.0,22.3,72.0,C,,['C']
DeMarcus Cousins,3.2,7.4,1.4,2.0,1.1,6.4,1.9,0.8,0.6,1.6,8.9,17.4,41.0,C,,['C']
DeMarcus Cousins,3.2,8.4,1.8,2.4,1.6,7.6,2.4,0.8,0.7,1.6,9.6,20.2,25.0,C,,['C']
DeMarcus Cousins,3.2,5.9,0.9,1.4,0.5,4.5,1.0,0.8,0.4,1.6,7.8,12.9,16.0,C,,['C']
Bruce Brown,3.6,6.5,1.3,1.8,0.3,5.4,1.6,0.9,0.4,0.8,8.8,22.3,65.0,PG,,['PG']
Michael Carter-Williams,3.4,8.7,1.6,2.6,0.5,4.5,4.2,0.8,0.5,2.2,8.8,25.8,31.0,SG,,['SG']
Danuel House Jr.,3.1,7.6,1.1,1.8,1.5,3.7,1.9,0.6,0.4,1.0,8.8,25.9,36.0,SF,,['SF']
Jay Scrubb,3.5,9.0,1.3,1.3,0.5,3.5,0.3,1.0,0.0,1.8,8.8,21.0,4.0,SG,,['SG']
George Hill,3.2,6.6,1.3,1.7,1.0,2.0,2.4,0.8,0.2,1.0,8.7,22.4,30.0,PG,,['PG']
George Hill,4.4,8.6,1.5,1.8,1.6,2.1,3.1,0.9,0.1,0.9,11.8,26.4,14.0,PG,,['PG']
George Hill,2.1,4.8,1.2,1.6,0.6,2.0,1.9,0.7,0.2,1.2,6.0,18.9,16.0,PG,,['PG']
Terence Davis,3.2,7.5,0.7,0.9,1.6,2.5,1.4,0.7,0.2,1.0,8.7,17.6,61.0,SG,,['SG']
Terence Davis,2.6,6.2,0.5,0.5,1.3,1.9,1.1,0.5,0.2,0.9,6.9,14.5,34.0,SG,,['SG']
Terence Davis,4.0,9.1,1.1,1.4,2.0,3.3,1.7,1.0,0.3,1.3,11.1,21.5,27.0,SG,,['SG']
Raul Neto,3.3,7.0,1.2,1.3,1.0,2.4,2.3,1.1,0.1,0.8,8.7,21.9,64.0,PG,,['PG']
Isaiah Roby,3.4,7.0,1.4,1.9,0.5,5.6,1.8,0.9,0.6,1.9,8.7,23.4,61.0,PF,,['PF']
Dario Å ariÄ,3.1,6.8,1.7,2.0,0.9,3.8,1.3,0.6,0.1,1.1,8.7,17.4,50.0,C,,['C']
Moses Brown,3.4,6.2,1.8,2.9,0.0,8.9,0.2,0.7,1.1,1.0,8.6,21.4,43.0,C,,['C']
T.J. McConnell,4.0,7.1,0.5,0.7,0.2,3.7,6.6,1.9,0.3,2.0,8.6,26.0,69.0,PG,,['PG']
Jakob Poeltl,3.8,6.2,0.9,1.8,0.0,7.9,1.9,0.7,1.8,1.2,8.6,26.7,69.0,C,,['C']
Ricky Rubio,2.8,7.3,1.9,2.2,1.0,3.3,6.4,1.4,0.1,1.6,8.6,26.1,68.0,PG,,['PG']
Svi Mykhailiuk,3.2,7.7,0.6,0.8,1.6,2.5,1.7,0.8,0.2,1.3,8.5,20.1,66.0,SF,,['SF']
Svi Mykhailiuk,2.3,6.2,0.7,0.8,1.6,2.1,1.6,0.8,0.2,1.1,6.9,17.6,36.0,SF,,['SF']
Svi Mykhailiuk,4.1,9.4,0.5,0.7,1.6,3.0,1.8,0.8,0.2,1.6,10.3,23.0,30.0,SF,,['SF']
Robert Covington,2.9,7.3,0.7,0.9,1.9,6.7,1.7,1.4,1.2,0.9,8.5,32.0,70.0,PF,,['PF']
Gabriel Deck,3.2,6.7,1.8,2.2,0.2,4.0,2.4,0.8,0.0,0.6,8.4,21.2,10.0,PF,,['PF']
James Ennis,2.8,5.9,1.7,2.1,1.1,4.0,1.5,0.8,0.2,0.9,8.4,24.0,41.0,SF,,['SF']
Cameron Payne,3.2,6.6,0.8,0.9,1.2,2.4,3.6,0.6,0.3,1.0,8.4,18.0,60.0,PG,,['PG']
Luke Kennard,3.1,6.6,0.4,0.5,1.6,2.6,1.7,0.4,0.1,0.8,8.3,19.6,63.0,SG,,['SG']
Mitchell Robinson,3.7,5.7,0.8,1.7,0.0,8.1,0.5,1.1,1.5,0.8,8.3,27.5,31.0,C,,['C']
Cory Joseph,3.2,6.8,1.1,1.4,0.7,2.5,3.4,1.0,0.3,1.3,8.2,23.0,63.0,PG,,['PG']
